embedding_a,embedding_b,pair,k,mean_dissimilarity,median_dissimilarity,n_cells
drvi_global,drvi_lineage,drvi_global vs drvi_lineage,5,0.9965822102500822,1.0,399605
drvi_global,drvi_lineage,drvi_global vs drvi_lineage,10,0.9955694398223983,1.0,399605
drvi_global,drvi_lineage,drvi_global vs drvi_lineage,20,0.9940152164979046,1.0,399605
drvi_global,drvi_lineage,drvi_global vs drvi_lineage,50,0.9908578684838852,1.0,399605
drvi_global,drvi_lineage,drvi_global vs drvi_lineage,100,0.9873584468638803,0.9949748743718593,399605
drvi_global,drvi_lineage,drvi_global vs drvi_lineage,200,0.9826456735544077,0.9924433249370277,399605
drvi_global,harmony_global,drvi_global vs harmony_global,5,0.9972008965996777,1.0,399605
drvi_global,harmony_global,drvi_global vs harmony_global,10,0.9965318875038295,1.0,399605
drvi_global,harmony_global,drvi_global vs harmony_global,20,0.9955585651924472,1.0,399605
drvi_global,harmony_global,drvi_global vs harmony_global,50,0.9936968981124147,1.0,399605
drvi_global,harmony_global,drvi_global vs harmony_global,100,0.9917717174398266,0.9949748743718593,399605
drvi_global,harmony_global,drvi_global vs harmony_global,200,0.9891060227307569,0.9949748743718593,399605
drvi_global,harmony_lineage,drvi_global vs harmony_lineage,5,0.9986027471969839,1.0,399605
drvi_global,harmony_lineage,drvi_global vs harmony_lineage,10,0.9982269122827275,1.0,399605
drvi_global,harmony_lineage,drvi_global vs harmony_lineage,20,0.9975814724802318,1.0,399605
drvi_global,harmony_lineage,drvi_global vs harmony_lineage,50,0.9961473186871002,1.0,399605
drvi_global,harmony_lineage,drvi_global vs harmony_lineage,100,0.994378579720053,1.0,399605
drvi_global,harmony_lineage,drvi_global vs harmony_lineage,200,0.9916833119507347,0.9974937343358397,399605
drvi_global,scpoli_global,drvi_global vs scpoli_global,5,0.9989588925413054,1.0,399605
drvi_global,scpoli_global,drvi_global vs scpoli_global,10,0.9985475008345984,1.0,399605
drvi_global,scpoli_global,drvi_global vs scpoli_global,20,0.9978950332259445,1.0,399605
drvi_global,scpoli_global,drvi_global vs scpoli_global,50,0.9966265837533853,1.0,399605
drvi_global,scpoli_global,drvi_global vs scpoli_global,100,0.9951591413721836,1.0,399605
drvi_global,scpoli_global,drvi_global vs scpoli_global,200,0.993007723608073,0.9974937343358397,399605
drvi_global,scpoli_lineage,drvi_global vs scpoli_lineage,5,0.9983666310958262,1.0,399605
drvi_global,scpoli_lineage,drvi_global vs scpoli_lineage,10,0.997626586623672,1.0,399605
drvi_global,scpoli_lineage,drvi_global vs scpoli_lineage,20,0.9965516388889109,1.0,399605
